Time,OLR ,pH,ALK,VFA,SBY,SMY
1,2,7.46,4613,1116,558.4,357.0
2,2,7.39,4562,1079,617.4,419.4
3,2,7.46,4613,1116,618.5,414.2
4,2,7.35,4511,1042,559.7,428.6
5,2,7.36,4416,1012,628.6,421.4
6,2,7.35,4301,989,645.9,431.7
7,2,7.38,4408,968,604.4,409.6
8,2,7.39,4321,982,611.2,395.3
9,2,7.34,4187,967,610.7,411.4
10,2,7.35,4148,984,615.4,407.9
11,2,7.33,4053,952,577.5,381.0
12,2,7.30,3965,930,620.5,398.9
13,2,7.33,3998,953,594.0,381.3
14,2,7.29,3959,919,546.5,346.9
15,2,7.30,3876,909,556.3,353.0
16,2,7.35,3919,885,583.7,373.9
17,2,7.28,3835,865,549.5,348.8
18,2,7.32,3793,899,516.8,357.6
19,2,7.26,3726,873,509.0,367.5
20,2,7.29,3751,844,534.7,384.7
21,2,7.26,3669,852,678.3,475.4
22,2,7.26,3660,846,501.1,347.1
23,2,7.28,3587,860,537.4,375.3
24,2,7.22,3562,859,547.8,379.1
25,2,7.24,3650,840,542.2,361.8
26,2,7.26,3587,905,600.9,411.7
27,2,7.24,3536,858,484.3,318.8
28,2,7.27,3510,891,567.5,370.8
29,2,7.23,3463,884,530.1,341.3
30,2,7.24,3485,810,523.8,365.5
31,2,7.22,3450,812,464.9,330.5
32,2,7.23,3416,876,514.7,356.1
33,2,7.20,3380,819,550.5,382.2
34,2,7.19,3415,814,576.0,400.9
35,2,7.22,3344,762,522.6,374.3
36,2,7.21,3415,794,511.5,368.2
37,2,7.20,3450,809,509.9,343.1
38,2,7.23,3442,765,623.3,426.6
39,2,7.22,3485,825,514.8,354.0
40,2,7.20,3485,795,566.9,417.1
41,2,7.25,3434,720,502.0,340.8
42,2,7.28,3485,764,481.0,332.4
43,2,7.28,3321,661,477.1,332.8
44,2,7.23,3383,646,484.1,334.0
45,2,7.29,3445,631,619.9,411.4
46,2,7.24,3387,709,579.3,385.6
47,2,7.31,3341,767,627.7,417.6
48,2,7.24,3378,657,585.1,411.5
49,2,7.31,3328,786,569.3,393.6
50,2,7.26,3402,652,579.8,410.4
51,2,7.27,3415,546,542.7,389.7
52,2,7.22,3361,594,625.4,417.6
53,2,7.31,3475,518,548.8,370.0
54,2,7.25,3386,596,587.4,395.8
55,2,7.31,3307,642,627.7,421.4
56,2,7.23,3270,733,595.2,393.6
57,2,7.25,3297,675,603.6,402.0
58,2,7.29,3232,824,666.5,414.5
59,2,7.24,3298,775,569.5,352.8
60,2,7.26,3325,616,612.5,366.4
61,2,7.27,3344,671,564.4,366.0
62,2,7.33,3363,726,619.1,392.9
63,2,7.25,3363,726,664.3,420.8
64,2,7.23,3363,726,561.6,354.2
65,2,7.30,3876,909,646.7,401.8
66,2,7.28,3285,550,611.9,376.8
67,2,7.27,3237,642,596.1,359.6
68,2,7.26,3280,516,560.0,361.6
69,2,7.24,3237,549,602.4,393.9
70,2,7.29,3189,733,585.6,382.4
71,2,7.21,3188,683,598.2,386.8
72,2,7.24,3194,582,620.5,393.8
73,2,7.22,3201,561,591.1,363.8
74,2,7.24,3186,632,582.1,388.2
75,2,7.21,3190,653,517.5,347.6
76,2,7.30,3208,539,550.1,359.8
77,2,7.22,3172,698,551.9,363.6
78,2,7.23,3193,675,568.7,364.7
79,2,7.24,3135,856,612.0,369.8
80,2,7.24,3192,719,625.9,376.6
81,2,7.27,3215,652,641.2,384.4
82,2.5,7.22,3278,642,561.6,377.0
83,2.5,7.25,3249,582,577.3,391.5
84,3,7.22,3276,639,455.6,292.6
85,3,7.24,3340,632,516.4,319.7
86,3,7.27,3302,695,571.1,351.0
87,3,7.27,3395,697,593.7,361.8
88,3,7.28,3405,625,576.4,347.3
89,3,7.25,3570,701,586.8,412.8
90,3.5,7.27,3487,698,518.2,355.1
91,3.5,7.28,3556,751,554.4,366.7
92,4,7.30,3735,778,513.5,328.1
93,4,7.31,3625,803,545.5,343.6
94,4,7.31,3887,836,590.4,362.8
95,4,7.38,3913,805,607.3,376.6
96,4,7.33,4188,907,618.3,377.4
97,4,7.39,4149,869,637.4,386.5
98,4,7.37,4294,954,615.8,376.3
99,4,7.39,4464,1009,636.9,417.5
100,4,7.40,4438,1038,632.2,400.3
101,4,7.39,4662,1004,676.8,428.5
102,4,7.47,4634,1064,626.5,413.6
103,4,7.40,4863,1103,643.5,403.9
104,4,7.48,4886,970,663.1,413.2
105,4,7.43,4966,1091,644.6,398.5
106,4,7.47,5093,1143,632.4,403.9
107,4,7.51,5046,1211,662.4,418.4
108,4,7.47,5230,1184,698.1,437.2
109,4,7.48,5219,1195,658.2,413.9
110,4,7.47,5389,1166,718.5,449.6
111,4,7.47,5414,1156,675.5,431.9
112,4,7.51,5499,1129,679.5,432.7
113,4,7.53,5559,1136,693.5,437.9
114,4,7.54,5584,1101,675.7,422.5
115,4,7.50,5575,1170,772.3,480.2
116,4,7.52,5618,1144,699.3,430.6
117,4,7.50,5625,1202,676.2,433.6
118,4,7.52,5565,1239,662.6,418.2
119,4,7.48,5511,1231,672.9,420.6
120,4,7.49,5633,1261,650.0,404.1
121,4,7.54,5457,1223,711.3,440.7
122,4,7.52,5610,1386,654.8,420.0
123,4,7.51,5754,1290,643.5,410.1
124,4,7.52,5792,1323,671.8,412.6
125,4,7.56,5762,1548,666.8,423.8
126,4,7.57,5822,1390,670.2,429.2
127,4,7.60,5830,1355,651.9,413.7
128,4,7.63,5882,1232,678.5,408.8
129,4,7.61,5889,1258,631.1,371.4
130,4,7.58,5838,1320,646.1,383.2
131,4,7.60,5890,1328,693.9,412.0
132,4,7.56,5895,1284,647.6,425.8
133,4,7.56,5887,1368,676.2,419.9
134,4,7.55,5942,1336,672.1,434.4
135,4,7.54,5879,1451,678.5,452.2
136,4,7.59,5923,1401,663.2,425.4
137,4,7.50,5996,1304,654.3,414.6
138,4,7.57,5998,1327,651.9,407.1
139,4,7.56,5966,1350,646.4,402.2
140,4,7.56,5969,1392,643.2,425.7
141,4,7.56,5999,1349,670.5,428.3
142,4,7.56,5972,1433,653.5,410.9
143,4,7.54,6042,1390,622.5,388.4
