Time,OLR ,pH,ALK,VFA,SBY,SMY
1,2,7.46,4.613,1.116,558.4,357
2,2,7.39,4.562,1.079,617.4,419.4
3,2,7.46,4.613,1.116,618.5,414.2
4,2,7.35,4.511,1.042,559.7,428.6
5,2,7.36,4.416,1.012,628.6,421.4
6,2,7.35,4.301,0.989,645.9,431.7
7,2,7.38,4.408,0.968,604.4,409.6
8,2,7.39,4.321,0.982,611.2,395.3
9,2,7.34,4.187,0.967,610.7,411.4
10,2,7.35,4.148,0.984,615.4,407.9
11,2,7.33,4.053,0.952,577.5,381
12,2,7.3,3.965,0.93,620.5,398.9
13,2,7.33,3.998,0.953,594,381.3
14,2,7.29,3.959,0.919,546.5,346.9
15,2,7.3,3.876,0.909,556.3,353
16,2,7.35,3.919,0.885,583.7,373.9
17,2,7.28,3.835,0.865,549.5,348.8
18,2,7.32,3.793,0.899,516.8,357.6
19,2,7.26,3.726,0.873,509,367.5
20,2,7.29,3.751,0.844,534.7,384.7
21,2,7.26,3.669,0.852,678.3,475.4
22,2,7.26,3.66,0.846,501.1,347.1
23,2,7.28,3.587,0.86,537.4,375.3
24,2,7.22,3.562,0.859,547.8,379.1
25,2,7.24,3.65,0.84,542.2,361.8
26,2,7.26,3.587,0.905,600.9,411.7
27,2,7.24,3.536,0.858,484.3,318.8
28,2,7.27,3.51,0.891,567.5,370.8
29,2,7.23,3.463,0.884,530.1,341.3
30,2,7.24,3.485,0.81,523.8,365.5
31,2,7.22,3.45,0.812,464.9,330.5
32,2,7.23,3.416,0.876,514.7,356.1
33,2,7.2,3.38,0.819,550.5,382.2
34,2,7.19,3.415,0.814,576,400.9
35,2,7.22,3.344,0.762,522.6,374.3
36,2,7.21,3.415,0.794,511.5,368.2
37,2,7.2,3.45,0.809,509.9,343.1
38,2,7.23,3.442,0.765,623.3,426.6
39,2,7.22,3.485,0.825,514.8,354
40,2,7.2,3.485,0.795,566.9,417.1
41,2,7.25,3.434,0.72,502,340.8
42,2,7.28,3.485,0.764,481,332.4
43,2,7.28,3.321,0.661,477.1,332.8
44,2,7.23,3.383,0.646,484.1,334
45,2,7.29,3.445,0.631,619.9,411.4
46,2,7.24,3.387,0.709,579.3,385.6
47,2,7.31,3.341,0.767,627.7,417.6
48,2,7.24,3.378,0.657,585.1,411.5
49,2,7.31,3.328,0.786,569.3,393.6
50,2,7.26,3.402,0.652,579.8,410.4
51,2,7.27,3.415,0.546,542.7,389.7
52,2,7.22,3.361,0.594,625.4,417.6
53,2,7.31,3.475,0.518,548.8,370
54,2,7.25,3.386,0.596,587.4,395.8
55,2,7.31,3.307,0.642,627.7,421.4
56,2,7.23,3.27,0.733,595.2,393.6
57,2,7.25,3.297,0.675,603.6,402
58,2,7.29,3.232,0.824,666.5,414.5
59,2,7.24,3.298,0.775,569.5,352.8
60,2,7.26,3.325,0.616,612.5,366.4
61,2,7.27,3.344,0.671,564.4,366
62,2,7.33,3.363,0.726,619.1,392.9
63,2,7.25,3.363,0.726,664.3,420.8
64,2,7.23,3.363,0.726,561.6,354.2
65,2,7.3,3.876,0.909,646.7,401.8
66,2,7.28,3.285,0.55,611.9,376.8
67,2,7.27,3.237,0.642,596.1,359.6
68,2,7.26,3.28,0.516,560,361.6
69,2,7.24,3.237,0.549,602.4,393.9
70,2,7.29,3.189,0.733,585.6,382.4
71,2,7.21,3.188,0.683,598.2,386.8
72,2,7.24,3.194,0.582,620.5,393.8
73,2,7.22,3.201,0.561,591.1,363.8
74,2,7.24,3.186,0.632,582.1,388.2
75,2,7.21,3.19,0.653,517.5,347.6
76,2,7.3,3.208,0.539,550.1,359.8
77,2,7.22,3.172,0.698,551.9,363.6
78,2,7.23,3.193,0.675,568.7,364.7
79,2,7.24,3.135,0.856,612,369.8
80,2,7.24,3.192,0.719,625.9,376.6
81,2,7.27,3.215,0.652,641.2,384.4
82,2.5,7.22,3.278,0.642,561.6,377
83,2.5,7.25,3.249,0.582,577.3,391.5
84,3,7.22,3.276,0.639,455.6,292.6
85,3,7.24,3.34,0.632,516.4,319.7
86,3,7.27,3.302,0.695,571.1,351
87,3,7.27,3.395,0.697,593.7,361.8
88,3,7.28,3.405,0.625,576.4,347.3
89,3,7.25,3.57,0.701,586.8,412.8
90,3.5,7.27,3.487,0.698,518.2,355.1
91,3.5,7.28,3.556,0.751,554.4,366.7
92,4,7.3,3.735,0.778,513.5,328.1
93,4,7.31,3.625,0.803,545.5,343.6
94,4,7.31,3.887,0.836,590.4,362.8
95,4,7.38,3.913,0.805,607.3,376.6
96,4,7.33,4.188,0.907,618.3,377.4
97,4,7.39,4.149,0.869,637.4,386.5
98,4,7.37,4.294,0.954,615.8,376.3
99,4,7.39,4.464,1.009,636.9,417.5
100,4,7.4,4.438,1.038,632.2,400.3
101,4,7.39,4.662,1.004,676.8,428.5
102,4,7.47,4.634,1.064,626.5,413.6
103,4,7.4,4.863,1.103,643.5,403.9
104,4,7.48,4.886,0.97,663.1,413.2
105,4,7.43,4.966,1.091,644.6,398.5
106,4,7.47,5.093,1.143,632.4,403.9
107,4,7.51,5.046,1.211,662.4,418.4
108,4,7.47,5.23,1.184,698.1,437.2
109,4,7.48,5.219,1.195,658.2,413.9
110,4,7.47,5.389,1.166,718.5,449.6
111,4,7.47,5.414,1.156,675.5,431.9
112,4,7.51,5.499,1.129,679.5,432.7
113,4,7.53,5.559,1.136,693.5,437.9
114,4,7.54,5.584,1.101,675.7,422.5
115,4,7.5,5.575,1.17,772.3,480.2
116,4,7.52,5.618,1.144,699.3,430.6
117,4,7.5,5.625,1.202,676.2,433.6
118,4,7.52,5.565,1.239,662.6,418.2
119,4,7.48,5.511,1.231,672.9,420.6
120,4,7.49,5.633,1.261,650,404.1
121,4,7.54,5.457,1.223,711.3,440.7
122,4,7.52,5.61,1.386,654.8,420
123,4,7.51,5.754,1.29,643.5,410.1
124,4,7.52,5.792,1.323,671.8,412.6
125,4,7.56,5.762,1.548,666.8,423.8
126,4,7.57,5.822,1.39,670.2,429.2
127,4,7.6,5.83,1.355,651.9,413.7
128,4,7.63,5.882,1.232,678.5,408.8
129,4,7.61,5.889,1.258,631.1,371.4
130,4,7.58,5.838,1.32,646.1,383.2
131,4,7.6,5.89,1.328,693.9,412
132,4,7.56,5.895,1.284,647.6,425.8
133,4,7.56,5.887,1.368,676.2,419.9
134,4,7.55,5.942,1.336,672.1,434.4
135,4,7.54,5.879,1.451,678.5,452.2
136,4,7.59,5.923,1.401,663.2,425.4
137,4,7.5,5.996,1.304,654.3,414.6
138,4,7.57,5.998,1.327,651.9,407.1
139,4,7.56,5.966,1.35,646.4,402.2
140,4,7.56,5.969,1.392,643.2,425.7
141,4,7.56,5.999,1.349,670.5,428.3
142,4,7.56,5.972,1.433,653.5,410.9
143,4,7.54,6.042,1.39,622.5,388.4
144,4,7.6,6.029,1.307,645.8,447
145,4,7.56,6.071,1.371,669,429.2
146,4,7.59,6.112,1.347,686.3,428.1
147,4,7.57,6.109,1.334,703.7,431
148,4,7.58,6.113,1.435,711,384.5
149,4,7.6,6.105,1.321,717.7,390.8
150,4,7.58,6.116,1.444,724.5,397.1
151,4,7.63,6.118,1.536,707.6,405.8
152,4,7.58,6.041,1.646,690.7,414.4
153,4,7.61,6.127,1.567,699,416.1
154,4,7.59,6.022,1.688,707.4,417.8
155,4,7.59,5.965,1.756,687.5,409.8
156,4,7.58,5.917,1.809,632.5,401.7
157,4,7.63,5.923,1.894,646.3,398.4
158,4,7.59,5.907,1.824,660.1,395.1
159,4,7.62,6.141,1.854,649,383.9
160,4,7.57,5.928,1.978,637.9,372.7
161,4,7.64,6.141,1.89,615.6,383.3
162,4,7.55,6.374,1.883,593.2,393.8
163,4,7.65,6.437,1.904,616,513.7
164,4,7.66,6.354,1.802,625.3,523.3
165,4,7.57,6.608,1.876,634.7,492.5
166,4.5,7.6,6.499,1.924,638.5,474
167,5,7.65,6.589,2.033,640.6,456.8
168,5.5,7.57,6.862,1.95,787,499.8
169,6,7.6,6.678,2.142,768.8,548.4
170,6,7.65,6.972,2.096,650.5,411.4
171,6,7.57,7.135,1.867,696.6,431.8
172,6,7.7,7.432,1.966,663.9,406.5
173,6,7.64,7.265,2.05,507,311.4
174,6,7.77,7.449,2.145,658.7,453.4
175,6,7.76,7.728,2.064,638.2,439.5
176,6,7.78,7.633,2.239,740.5,493
177,6,7.77,7.849,2.233,617.4,419.8
178,6,7.87,8.007,1.984,657.6,410.8
179,6,7.88,8.206,2.101,612.9,369.6
180,6,7.83,8.064,2.227,681.4,419.6
181,6,7.8,8.211,2.264,656.8,380.9
182,6,7.81,8.406,2.217,647.8,461.3
183,6,7.81,8.357,2.3,651.3,468.1
184,6,7.79,8.425,2.343,715.9,524.5
185,6,7.84,8.601,2.171,641.4,460
186,6,7.84,8.714,2.319,752.7,518.1
187,6,7.85,8.493,2.386,783.9,605.7
188,6,7.84,8.694,2.404,815.1,535.9
189,6,7.82,8.826,2.466,696,413.5
190,6,7.87,8.894,2.421,720,454.6
191,6,7.85,8.947,2.526,676.6,428.6
192,6,7.87,8.959,2.529,695.1,427.6
193,6,7.85,9.069,2.389,700.5,429
194,6,7.86,8.999,2.631,693.1,463.5
195,6,7.83,9.068,2.36,710.2,516.4
196,6,7.84,9.178,2.249,679,486.4
197,6,7.88,9.137,2.089,685.7,477.6
198,6,7.82,3.876,0.909,666,449.5
199,6,7.85,9.288,2.137,667.1,434.8
200,6,7.84,9.317,2.223,681.2,428
201,6,7.83,9.48,2.51,669.7,472.6
202,6,7.82,9.346,2.309,671.7,474
